"Sunday,  December  30",Houston  at  Indianapolis (1:00 PM)   Texans at Colts
"Sunday,  December  30",Cleveland  at  Pittsburgh (1:00 PM)   Browns at Steelers
"Sunday,  December  30",Baltimore  at  Cincinnati (1:00 PM)   Ravens at Bengals
"Sunday,  December  30",Jacksonville  at  Tennessee (1:00 PM)   Jaguars at Titans
"Sunday,  December  30",Philadelphia  at  N.Y. Giants (1:00 PM)   Eagles at Giants
"Sunday,  December  30",Dallas  at  Washington (1:00 PM)   Cowboys at Redskins
"Sunday,  December  30",Chicago  at  Detroit (1:00 PM)   Bears at Lions
"Sunday,  December  30",Carolina  at  New Orleans (1:00 PM)   Panthers at Saints
"Sunday,  December  30",Green Bay  at  Minnesota (1:00 PM)   Packers at Vikings
"Sunday,  December  30",Tampa Bay  at  Atlanta (1:00 PM)   Buccaneers at Falcons
"Sunday,  December  30",St. Louis  at  Seattle (4:25 PM)   Rams at Seahawks
"Sunday,  December  30",Arizona  at  San Francisco (4:25 PM)   Cardinals at 49ers
"Sunday,  December  30",Oakland  at  San Diego (4:25 PM)   Raiders at Chargers
"Sunday,  December  30",Kansas City  at  Denver (4:25 PM)   Chiefs at Broncos
